1	0.000000	0.000000
2	0.024950	0.017370
3	0.021120	0.057020
4	-0.022860	0.088300
5	-0.092270	0.079210
6	-0.156000	0.000000
7	-0.156000	-0.104000
8	-0.104000	-0.208000
9	0.052000	-0.260000
10	0.208000	-0.208000
11	0.312000	-0.052000
12	0.312000	0.156000
13	0.208000	0.312000
14	0.000000	0.416000
15	-0.260000	0.364000
16	-0.416000	0.156000
17	-0.468000	-0.156000
18	-0.312000	-0.416000
19	0.000000	-0.572000
20	0.312000	-0.520000
21	0.572000	-0.260000
22	0.624000	0.104000
23	0.468000	0.468000
24	0.104000	0.676000
25	-0.312000	0.624000
26	-0.676000	0.364000
27	-0.780000	-0.104000
28	-0.624000	-0.572000
29	-0.208000	-0.832000
30	0.312000	-0.832000
31	0.780000	-0.520000
32	0.936000	0.000000
